"stm32f101r8tx","stm32f101r8"
"stm32f101rbtx","stm32f101rb"
"stm32f101rbhx","stm32f101rb"
"stm32f101rctx","stm32f101rc"
"stm32f101rdtx","stm32f101rd"
"stm32f101retx","stm32f101re"
"stm32f101rftx","stm32f101rf"
"stm32f101rgtx","stm32f101rg"
"stm32f101t4ux","stm32f101t4"
"stm32f101t6ux","stm32f101t6"
"stm32f101t8ux","stm32f101t8"
"stm32f101tbux","stm32f101tb"
"stm32f101v8tx","stm32f101v8"
"stm32f101vbtx","stm32f101vb"
"stm32f101vctx","stm32f101vc"
"stm32f101vdtx","stm32f101vd"
"stm32f101vetx","stm32f101ve"
"stm32f101vftx","stm32f101vf"
"stm32f101vgtx","stm32f101vg"
"stm32f101zctx","stm32f101zc"
"stm32f101zdtx","stm32f101zd"
"stm32f101zetx","stm32f101ze"
"stm32f101zftx","stm32f101zf"
"stm32f101zgtx","stm32f101zg"
"stm32f102c4tx","stm32f102c4"
"stm32f102c6tx","stm32f102c6"
"stm32f102c8tx","stm32f102c8"
"stm32f102cbtx","stm32f102cb"
"stm32f102r4tx","stm32f102r4"
"stm32f102r6tx","stm32f102r6"
"stm32f102r8tx","stm32f102r8"
"stm32f102rbtx","stm32f102rb"
"stm32f103c4tx","stm32f103c4"
"stm32f103c6tx","stm32f103c6"
"stm32f103c6ux","stm32f103c6"
"stm32f103c8tx","stm32f103c8"
"stm32f103cbtx","stm32f103cb"
"stm32f103cbux","stm32f103cb"
"stm32f103r4hx","stm32f103r4"
"stm32f103r4tx","stm32f103r4"
"stm32f103r6hx","stm32f103r6"
"stm32f103r6tx","stm32f103r6"
"stm32f103r8hx","stm32f103r8"
"stm32f103r8tx","stm32f103r8"
"stm32f103rbhx","stm32f103rb"
"stm32f103rbtx","stm32f103rb"
"stm32f103rctx","stm32f103rc"
"stm32f103rcyx","stm32f103rc"
"stm32f103rdtx","stm32f103rd"
"stm32f103rdyx","stm32f103rd"
"stm32f103retx","stm32f103re"
"stm32f103reyx","stm32f103re"
"stm32f103rftx","stm32f103rf"
"stm32f103rgtx","stm32f103rg"
"stm32f103t4ux","stm32f103t4"
"stm32f103t6ux","stm32f103t6"
"stm32f103t8ux","stm32f103t8"
"stm32f103tbux","stm32f103tb"
"stm32f103v8hx","stm32f103v8"
"stm32f103v8tx","stm32f103v8"
"stm32f103vbhx","stm32f103vb"
"stm32f103vbtx","stm32f103vb"
"stm32f103vbix","stm32f103vb"
"stm32f103vchx","stm32f103vc"
"stm32f103vctx","stm32f103vc"
"stm32f103vdhx","stm32f103vd"
"stm32f103vdtx","stm32f103vd"
"stm32f103vehx","stm32f103ve"
"stm32f103vetx","stm32f103ve"
"stm32f103vftx","stm32f103vf"
"stm32f103vgtx","stm32f103vg"
"stm32f103zchx","stm32f103zc"
"stm32f103zctx","stm32f103zc"
"stm32f103zdhx","stm32f103zd"
"stm32f103zdtx","stm32f103zd"
"stm32f103zehx","stm32f103ze"
"stm32f103zetx","stm32f103ze"
"stm32f103zfhx","stm32f103zf"
"stm32f103zftx","stm32f103zf"
"stm32f103zghx","stm32f103zg"
"stm32f103zgtx","stm32f103zg"
"stm32f105r8tx","stm32f105r8"
"stm32f105rbtx","stm32f105rb"
"stm32f105rctx","stm32f105rc"
"stm32f105v8hx","stm32f105v8"
"stm32f105v8tx","stm32f105v8"
"stm32f105vbhx","stm32f105vb"
"stm32f105vbtx","stm32f105vb"
"stm32f105vctx","stm32f105vc"
"stm32f107rbtx","stm32f107rb"
"stm32f107rctx","stm32f107rc"
"stm32f107vbtx","stm32f107vb"
"stm32f107vctx","stm32f107vc"
"stm32f107vchx","stm32f107vc"
"stm32f205rbtx","stm32f205rb"
"stm32f205rctx","stm32f205rc"
"stm32f205retx","stm32f205re"
"stm32f205reyx","stm32f205re"
"stm32f205rftx","stm32f205rf"
"stm32f205rgtx","stm32f205rg"
"stm32f205rgyx","stm32f205rg"
"stm32f205rgex","stm32f205rg"
"stm32f205vbtx","stm32f205vb"
"stm32f205vctx","stm32f205vc"
"stm32f205vetx","stm32f205ve"
"stm32f205vftx","stm32f205vf"
"stm32f205vgtx","stm32f205vg"
"stm32f205zctx","stm32f205zc"
"stm32f205zetx","stm32f205ze"
"stm32f205zftx","stm32f205zf"
"stm32f205zgtx","stm32f205zg"
"stm32f207ichx","stm32f207ic"
"stm32f207ictx","stm32f207ic"
"stm32f207iehx","stm32f207ie"
"stm32f207ietx","stm32f207ie"
"stm32f207ifhx","stm32f207if"
"stm32f207iftx","stm32f207if"
"stm32f207ighx","stm32f207ig"
"stm32f207igtx","stm32f207ig"
"stm32f207vctx","stm32f207vc"
"stm32f207vetx","stm32f207ve"
"stm32f207vftx","stm32f207vf"
"stm32f207vgtx","stm32f207vg"
"stm32f207zctx","stm32f207zc"
"stm32f207zetx","stm32f207ze"
"stm32f207zftx","stm32f207zf"
"stm32f207zgtx","stm32f207zg"
"stm32f215retx","stm32f215re"
"stm32f215rgtx","stm32f215rg"
"stm32f215vetx","stm32f215ve"
"stm32f215vgtx","stm32f215vg"
"stm32f215zetx","stm32f215ze"
"stm32f215zgtx","stm32f215zg"
"stm32f217iehx","stm32f217ie"
"stm32f217ietx","stm32f217ie"
"stm32f217ighx","stm32f217ig"
"stm32f217igtx","stm32f217ig"
"stm32f217vetx","stm32f217ve"
"stm32f217vgtx","stm32f217vg"
"stm32f217zetx","stm32f217ze"
"stm32f217zgtx","stm32f217zg"
"stm32f301c6tx","stm32f301c6"
"stm32f301c8tx","stm32f301c8"
"stm32f301c8yx","stm32f301c8"
"stm32f301k6tx","stm32f301k6"
"stm32f301k6ux","stm32f301k6"
"stm32f301k8tx","stm32f301k8"
"stm32f301k8ux","stm32f301k8"
"stm32f301r6tx","stm32f301r6"
"stm32f301r8tx","stm32f301r8"
"stm32f302c6tx","stm32f302c6"
"stm32f302c8tx","stm32f302c8"
"stm32f302c8yx","stm32f302c8"
"stm32f302cbtx","stm32f302cb"
"stm32f302cctx","stm32f302cc"
"stm32f302k6ux","stm32f302k6"
"stm32f302k8ux","stm32f302k8"
"stm32f302r6tx","stm32f302r6"
"stm32f302r8tx","stm32f302r8"
"stm32f302rbtx","stm32f302rb"
"stm32f302rctx","stm32f302rc"
"stm32f302rdtx","stm32f302rd"
"stm32f302retx","stm32f302re"
"stm32f302vbtx","stm32f302vb"
"stm32f302vctx","stm32f302vc"
"stm32f302vcyx","stm32f302vc"
"stm32f302vdhx","stm32f302vd"
"stm32f302vdtx","stm32f302vd"
"stm32f302vehx","stm32f302ve"
"stm32f302vetx","stm32f302ve"
"stm32f302zdtx","stm32f302zd"
"stm32f302zetx","stm32f302ze"
"stm32f303c6tx","stm32f303c6"
"stm32f303c8tx","stm32f303c8"
"stm32f303c8yx","stm32f303c8"
"stm32f303cbtx","stm32f303cb"
"stm32f303cctx","stm32f303cc"
